Number,Pilot,Assistant,Config file,Assignee,Notes
1,pilot_mars_lstm_good_small_window,sac_penalizeDeflection.zip,good_mars_experiment_01.json,,
2,pilot_mars_lstm_good_small_window,sac_bc_new_100_epochs.zip,good_mars_experiment_02.json,,
3,pilot_mars_lstm_good_small_window,sac_airl_300k.zip,good_mars_experiment_03.json,,
4,pilot_mars_lstm_good_small_window,ddpg_penalizeDeflection.zip,good_mars_experiment_04.json,,
5,pilot_mars_lstm_good_small_window,ddpg_bc_new_100_epochs.zip,good_mars_experiment_05.json,,
6,pilot_mars_lstm_good_small_window,assistant_mars_mlp_good.ckpt,good_mars_experiment_06.json,,
7,pilot_mars_lstm_good_small_window,assistant_mars_mlp_good_window.ckpt,good_mars_experiment_07.json,,
8,pilot_mars_lstm_good_small_window,assistant_mars_mlp_good_small_window.ckpt,good_mars_experiment_08.json,,
9,pilot_mars_lstm_good_small_window,assistant_mars_mlp_good_small_window_future.ckpt,good_mars_experiment_09.json,,
10,pilot_mars_lstm_good_small_window,assistant_mars_mlp_good_med.ckpt,good_mars_experiment_10.json,,
11,pilot_mars_lstm_good_small_window,assistant_mars_mlp_all_prof.ckpt,good_mars_experiment_11.json,,
12,pilot_mars_lstm_good_small_window,assistant_mars_rnn_good.ckpt,good_mars_experiment_12.json,,
13,pilot_mars_lstm_good_small_window,assistant_mars_rnn_good_small_window.ckpt,good_mars_experiment_13.json,,
14,pilot_mars_lstm_good_small_window,assistant_mars_rnn_good_small_window_future.ckpt,good_mars_experiment_14.json,,
15,pilot_mars_lstm_good_small_window,assistant_mars_rnn_good_med.ckpt,good_mars_experiment_15.json,,
16,pilot_mars_lstm_good_small_window,assistant_mars_rnn_all_prof.ckpt,good_mars_experiment_16.json,,
17,pilot_mars_lstm_good_small_window,assistant_mars_lstm_good.ckpt,good_mars_experiment_17.json,,
18,pilot_mars_lstm_good_small_window,assistant_mars_lstm_good_small_window.ckpt,good_mars_experiment_18.json,,
19,pilot_mars_lstm_good_small_window,assistant_mars_lstm_good_small_window_future.ckpt,good_mars_experiment_19.json,,
20,pilot_mars_lstm_good_small_window,assistant_mars_lstm_good_med.ckpt,good_mars_experiment_20.json,,
21,pilot_mars_lstm_good_small_window,assistant_mars_lstm_all_prof.ckpt,good_mars_experiment_21.json,,
22,pilot_mars_lstm_good_small_window,assistant_mars_gru_good.ckpt,good_mars_experiment_22.json,,
23,pilot_mars_lstm_good_small_window,assistant_mars_gru_good_small_window.ckpt,good_mars_experiment_23.json,,
24,pilot_mars_lstm_good_small_window,assistant_mars_gru_good_small_window_future.ckpt,good_mars_experiment_24.json,,
25,pilot_mars_lstm_good_small_window,assistant_mars_gru_good_med.ckpt,good_mars_experiment_25.json,,
26,pilot_mars_lstm_good_small_window,assistant_mars_gru_all_prof.ckpt,good_mars_experiment_26.json,,
27,pilot_mars_gru_med_small_window_future,sac_penalizeDeflection.zip,med_mars_experiment_01.json,,
28,pilot_mars_gru_med_small_window_future,sac_bc_new_100_epochs.zip,med_mars_experiment_02.json,,
29,pilot_mars_gru_med_small_window_future,sac_airl_300k.zip,med_mars_experiment_03.json,,
30,pilot_mars_gru_med_small_window_future,ddpg_penalizeDeflection.zip,med_mars_experiment_04.json,,
31,pilot_mars_gru_med_small_window_future,ddpg_bc_new_100_epochs.zip,med_mars_experiment_05.json,,
32,pilot_mars_gru_med_small_window_future,assistant_mars_mlp_good.ckpt,med_mars_experiment_06.json,,
33,pilot_mars_gru_med_small_window_future,assistant_mars_mlp_good_window.ckpt,med_mars_experiment_07.json,,
34,pilot_mars_gru_med_small_window_future,assistant_mars_mlp_good_small_window.ckpt,med_mars_experiment_08.json,,
35,pilot_mars_gru_med_small_window_future,assistant_mars_mlp_good_small_window_future.ckpt,med_mars_experiment_09.json,,
36,pilot_mars_gru_med_small_window_future,assistant_mars_mlp_good_med.ckpt,med_mars_experiment_10.json,,
37,pilot_mars_gru_med_small_window_future,assistant_mars_mlp_all_prof.ckpt,med_mars_experiment_11.json,,
