ppt,model,task,count_recovered,time_recovered,count_crashed,time_crashed,count_followed,length_trials,count_provided_suggestions,prop_provided,prop_followed,,,,,
dmx_003,DDPG,RDK Assist 1,28,1.753362963,10,1.066166667,2163,3914,2703,0.690597854,0.552631579,,,,,
emn_008,DDPG,RDK Assist 1,20,2.601420635,1,0.426333333,2018,3867,2614,0.675976209,0.521851565,,,,,
lwd_013,DDPG,RDK Assist 1,21,2.694291667,0,0,1797,3884,2219,0.571318229,0.462667353,,sum_followed,sum_trials,sum_provided,
wrz_018,DDPG,RDK Assist 1,12,3.636238889,4,3.3685,2946,3915,3224,0.823499361,0.752490421,,104777,237908,172199,
ezo_020,LSTM,RDK Assist 1,11,1.024416667,43,1.095620635,2063,3723,2450,0.658071448,0.554123019,,,,,
qkc_005,LSTM,RDK Assist 1,13,2.55625,2,6.454,2262,3700,2895,0.782432432,0.611351351,,,,,
syd_015,LSTM,RDK Assist 1,18,4.653022222,0,0,1726,3628,2400,0.661521499,0.475744212,,,,,
urj_010,LSTM,RDK Assist 1,20,2.127277778,0,0,1383,3633,1771,0.487475915,0.380677126,,,,,
cxz_014,MLP,RDK Assist 1,14,1.259142857,1,2.952,983,3837,1402,0.365389627,0.256189732,,,,,
gat_004,MLP,RDK Assist 1,15,1.942562963,5,3.492444444,2135,3903,2785,0.713553677,0.547015117,,,prop_provided,prop_followed_provided,prop_followed_trial
hjd_019,MLP,RDK Assist 1,20,0.951375,1,3.300666667,939,3866,1605,0.415157786,0.242886705,,,0.723805,0.608464625,0.440409738
txi_009,MLP,RDK Assist 1,9,2.588333333,2,2.904333333,2050,3933,3112,0.791253496,0.521230613,,,,,
pno_001,SAC,RDK Assist 1,4,1.935888889,8,4.815833333,2533,3922,3605,0.919173891,0.645843957,,,,,
qfb_016,SAC,RDK Assist 1,21,1.390833333,0,0,956,3809,1149,0.301653977,0.25098451,,,,,
vbc_011,SAC,RDK Assist 1,16,4.547188889,1,1.907,1964,3644,2802,0.768935236,0.538968167,,,,,
zyv_006,SAC,RDK Assist 1,12,2.325111111,3,10.66,2169,3861,3115,0.806785807,0.561771562,,,,,
bfs_007,SAC-AIRL,RDK Assist 1,14,3.295592593,6,1.538611111,1904,3886,2885,0.742408646,0.489963973,,,,,
nlq_017,SAC-AIRL,RDK Assist 1,2,6.768666667,0,0,1574,3775,3488,0.92397351,0.416953642,,,,,
wqi_002,SAC-AIRL,RDK Assist 1,4,0.772,1,3.622333333,2251,3798,3557,0.93654555,0.592680358,,Accepted,,,
zop_012,SAC-AIRL,RDK Assist 1,6,4.463555556,2,11.16366667,2211,3821,3011,0.788013609,0.578644334,,,S1 T2,S2 T2,S2 T3
dmx_003,DDPG,RDK Assist 2 - Original,33,1.451199471,14,0.767716667,2310,4450,2885,0.648314607,0.519101124,,Overall,0.497733465,0.432884698,0.394990591
emn_008,DDPG,RDK Assist 2 - Original,21,1.701440476,1,0.417333333,1581,3878,1979,0.510314595,0.407684373,,SAC,0.499392049,0.432380539,0.368912925
lwd_013,DDPG,RDK Assist 2 - Original,30,1.578555556,0,0,1532,3887,1939,0.498842295,0.394134294,,SAC-AIRL,0.519560577,0.444156957,0.563870845
wrz_018,DDPG,RDK Assist 2 - Original,13,4.060875,1,0.658666667,2608,3855,3059,0.793514916,0.676523995,,DDPG,0.57241023,0.499360946,0.506934388
pno_001,LSTM,RDK Assist 2 - Original,21,1.784287698,8,1.440166667,1801,4199,2566,0.61109788,0.428911646,,MLP-GMB-0,0.391830541,0.345000073,0.2309159
qfb_016,LSTM,RDK Assist 2 - Original,12,1.7885,3,7.389666667,1677,4100,3319,0.809512195,0.40902439,,LSTM-G-0.2,0.505473927,0.443524974,0.3043189
vbc_011,LSTM,RDK Assist 2 - Original,18,1.359583333,10,5.405722222,1616,4137,2851,0.689146725,0.390621223,,,,,
zyv_006,LSTM,RDK Assist 2 - Original,11,4.648444444,2,8.332666667,2252,4128,3133,0.758963178,0.545542636,,,,,
bfs_007,MLP,RDK Assist 2 - Original,12,2.463583333,6,5.254388889,1464,3900,3250,0.833333333,0.375384615,,,,,
nlq_017,MLP,RDK Assist 2 - Original,12,5.401253968,2,1.9715,1385,4352,3350,0.769761029,0.318244485,,,,,
wqi_002,MLP,RDK Assist 2 - Original,20,1.806116667,3,1.529666667,1323,3907,2630,0.673150755,0.338622984,,,,,
zop_012,MLP,RDK Assist 2 - Original,18,1.445080952,1,2.679666667,1359,3908,2870,0.734390993,0.347748209,,,,,
ezo_020,SAC,RDK Assist 2 - Original,9,2.542444444,32,1.352478114,1010,3902,2979,0.763454639,0.25884162,,,,,
qkc_005,SAC,RDK Assist 2 - Original,27,1.987390741,5,1.171055556,2047,3905,2744,0.70268886,0.524199744,,Provided,,,
syd_015,SAC,RDK Assist 2 - Original,0,0,0,0,1877,3853,3819,0.991175707,0.487152868,,,S1 T2,S2 T2,S2 T3
urj_010,SAC,RDK Assist 2 - Original,18,1.76127381,9,3.3967,1982,4315,3016,0.698957126,0.459327926,,Overall,0.691,0.733,0.748
cxz_014,SAC-AIRL,RDK Assist 2 - Original,15,1.451611111,3,5.224166667,1979,3891,3113,0.800051401,0.508609612,,SAC,0.699,0.789,0.687
gat_004,SAC-AIRL,RDK Assist 2 - Original,6,0.92875,3,6.338333333,1504,3857,3437,0.891107078,0.389940368,,SAC-AIRL,0.848,0.793,0.861
hjd_019,SAC-AIRL,RDK Assist 2 - Original,18,1.769271429,2,4.263666667,1759,4441,2710,0.610222923,0.396081964,,DDPG,0.690,0.613,0.667
txi_009,SAC-AIRL,RDK Assist 2 - Original,9,1.852944444,1,2.840666667,1874,3888,3381,0.869598765,0.481995885,,MLP-GMB-0,0.571,0.753,0.783
