Number,Pilot,Assistant,Config file,Assignee,Notes
1,pilot_mars_lstm_good_small_window,sac_penalizeDeflection.zip,good_mars_experiment_01.json,,
2,pilot_mars_lstm_good_small_window,sac_airl_300k.zip,good_mars_experiment_02.json,,
3,pilot_mars_lstm_good_small_window,ddpg_penalizeDeflection.zip,good_mars_experiment_03.json,,
4,pilot_mars_lstm_good_small_window,assistant_mars_mlp_all_prof.ckpt,good_mars_experiment_04.json,,
5,pilot_mars_lstm_good_small_window,assistant_mars_rnn_good_small_window.ckpt,good_mars_experiment_05.json,,
6,pilot_mars_lstm_good_small_window,assistant_mars_lstm_good_small_window.ckpt,good_mars_experiment_06.json,,
7,pilot_mars_lstm_good_small_window,assistant_mars_gru_good_small_window.ckpt,good_mars_experiment_07.json,,
8,pilot_mars_gru_med_small_window_future,sac_penalizeDeflection.zip,med_mars_experiment_01.json,,
9,pilot_mars_gru_med_small_window_future,sac_airl_300k.zip,med_mars_experiment_02.json,,
10,pilot_mars_gru_med_small_window_future,ddpg_penalizeDeflection.zip,med_mars_experiment_03.json,,
11,pilot_mars_gru_med_small_window_future,assistant_mars_mlp_all_prof.ckpt,med_mars_experiment_04.json,,
12,pilot_mars_gru_med_small_window_future,assistant_mars_rnn_good_small_window.ckpt,med_mars_experiment_05.json,,
13,pilot_mars_gru_med_small_window_future,assistant_mars_lstm_good_small_window.ckpt,med_mars_experiment_06.json,,
14,pilot_mars_gru_med_small_window_future,assistant_mars_gru_good_small_window.ckpt,med_mars_experiment_07.json,,
15,pilot_mars_mlp_bad_window,sac_penalizeDeflection.zip,bad_mars_experiment_01.json,,
16,pilot_mars_mlp_bad_window,sac_airl_300k.zip,bad_mars_experiment_02.json,,
17,pilot_mars_mlp_bad_window,ddpg_penalizeDeflection.zip,bad_mars_experiment_03.json,,
18,pilot_mars_mlp_bad_window,assistant_mars_mlp_all_prof.ckpt,bad_mars_experiment_04.json,,
19,pilot_mars_mlp_bad_window,assistant_mars_rnn_good_small_window.ckpt,bad_mars_experiment_05.json,,
20,pilot_mars_mlp_bad_window,assistant_mars_lstm_good_small_window.ckpt,bad_mars_experiment_06.json,,
21,pilot_mars_mlp_bad_window,assistant_mars_gru_good_small_window.ckpt,bad_mars_experiment_07.json,,
22,pilot_vip_lstm_good_small_window,sac_penalizeDeflection.zip,good_vip_experiment_01.json,,
23,pilot_vip_lstm_good_small_window,sac_airl_300k.zip,good_vip_experiment_02.json,,
24,pilot_vip_lstm_good_small_window,ddpg_penalizeDeflection.zip,good_vip_experiment_03.json,,
25,pilot_vip_lstm_good_small_window,assistant_mars_mlp_all_prof.ckpt,good_vip_experiment_04.json,,
26,pilot_vip_lstm_good_small_window,assistant_mars_rnn_good_small_window.ckpt,good_vip_experiment_05.json,,
27,pilot_vip_lstm_good_small_window,assistant_mars_lstm_good_small_window.ckpt,good_vip_experiment_06.json,,
28,pilot_vip_lstm_good_small_window,assistant_mars_gru_good_small_window.ckpt,good_vip_experiment_07.json,,
29,pilot_vip_gru_med_small_window_future,sac_penalizeDeflection.zip,med_vip_experiment_01.json,,
30,pilot_vip_gru_med_small_window_future,sac_airl_300k.zip,med_vip_experiment_02.json,,
31,pilot_vip_gru_med_small_window_future,ddpg_penalizeDeflection.zip,med_vip_experiment_03.json,,
32,pilot_vip_gru_med_small_window_future,assistant_mars_mlp_all_prof.ckpt,med_vip_experiment_04.json,,
33,pilot_vip_gru_med_small_window_future,assistant_mars_rnn_good_small_window.ckpt,med_vip_experiment_05.json,,
34,pilot_vip_gru_med_small_window_future,assistant_mars_lstm_good_small_window.ckpt,med_vip_experiment_06.json,,
35,pilot_vip_gru_med_small_window_future,assistant_mars_gru_good_small_window.ckpt,med_vip_experiment_07.json,,
36,pilot_vip_mlp_bad_window,sac_penalizeDeflection.zip,bad_vip_experiment_01.json,,
37,pilot_vip_mlp_bad_window,sac_airl_300k.zip,bad_vip_experiment_02.json,,
38,pilot_vip_mlp_bad_window,ddpg_penalizeDeflection.zip,bad_vip_experiment_03.json,,
39,pilot_vip_mlp_bad_window,assistant_mars_mlp_all_prof.ckpt,bad_vip_experiment_04.json,,
40,pilot_vip_mlp_bad_window,assistant_mars_rnn_good_small_window.ckpt,bad_vip_experiment_05.json,,
41,pilot_vip_mlp_bad_window,assistant_mars_lstm_good_small_window.ckpt,bad_vip_experiment_06.json,,
42,pilot_vip_mlp_bad_window,assistant_mars_gru_good_small_window.ckpt,bad_vip_experiment_07.json,,
